fips,county,state,cbsa,cbsaname
17157,"Randolph County, IL",IL,99999,NA
17163,"St. Clair County, IL",IL,41180,"St. Louis, MO-IL"
17181,"Union County, IL",IL,99999,NA
17191,"Wayne County, IL",IL,99999,NA
17151,"Pope County, IL",IL,99999,NA
17153,"Pulaski County, IL",IL,99999,NA
17069,"Hardin County, IL",IL,99999,NA
17015,"Carroll County, IL",IL,99999,NA
17071,"Henderson County, IL",IL,15460,"Burlington, IA-IL"
17197,"Will County, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17161,"Rock Island County, IL",IL,19340,"Davenport-Moline-Rock Island, IA-IL"
17065,"Hamilton County, IL",IL,99999,NA
17003,"Alexander County, IL",IL,16020,"Cape Girardeau, MO-IL"
17011,"Bureau County, IL",IL,36860,"Ottawa-Peru, IL"
17027,"Clinton County, IL",IL,41180,"St. Louis, MO-IL"
17195,"Whiteside County, IL",IL,44580,"Sterling, IL"
17169,"Schuyler County, IL",IL,99999,NA
17199,"Williamson County, IL",IL,16060,"Carbondale-Marion, IL"
17105,"Livingston County, IL",IL,38700,"Pontiac, IL"
17165,"Saline County, IL",IL,99999,NA
17183,"Vermilion County, IL",IL,19180,"Danville, IL"
17129,"Menard County, IL",IL,44100,"Springfield, IL"
17005,"Bond County, IL",IL,41180,"St. Louis, MO-IL"
17063,"Grundy County, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17037,"DeKalb County, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17093,"Kendall County, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17001,"Adams County, IL",IL,39500,"Quincy, IL-MO"
17009,"Brown County, IL",IL,99999,NA
17073,"Henry County, IL",IL,19340,"Davenport-Moline-Rock Island, IA-IL"
17131,"Mercer County, IL",IL,19340,"Davenport-Moline-Rock Island, IA-IL"
17039,"De Witt County, IL",IL,14010,"Bloomington, IL"
17155,"Putnam County, IL",IL,36860,"Ottawa-Peru, IL"
17079,"Jasper County, IL",IL,99999,NA
17033,"Crawford County, IL",IL,99999,NA
17041,"Douglas County, IL",IL,99999,NA
17035,"Cumberland County, IL",IL,16660,"Charleston-Mattoon, IL"
17159,"Richland County, IL",IL,99999,NA
17077,"Jackson County, IL",IL,16060,"Carbondale-Marion, IL"
17171,"Scott County, IL",IL,27300,"Jacksonville, IL"
17083,"Jersey County, IL",IL,41180,"St. Louis, MO-IL"
17117,"Macoupin County, IL",IL,41180,"St. Louis, MO-IL"
17013,"Calhoun County, IL",IL,41180,"St. Louis, MO-IL"
17075,"Iroquois County, IL",IL,99999,NA
17053,"Ford County, IL",IL,16580,"Champaign-Urbana, IL"
17147,"Piatt County, IL",IL,16580,"Champaign-Urbana, IL"
17019,"Champaign County, IL",IL,16580,"Champaign-Urbana, IL"
17133,"Monroe County, IL",IL,41180,"St. Louis, MO-IL"
17189,"Washington County, IL",IL,99999,NA
17127,"Massac County, IL",IL,37140,"Paducah, KY-IL"
17087,"Johnson County, IL",IL,99999,NA
17185,"Wabash County, IL",IL,99999,NA
17193,"White County, IL",IL,99999,NA
17047,"Edwards County, IL",IL,99999,NA
17059,"Gallatin County, IL",IL,99999,NA
18171,"Warren County, IN",IN,99999,NA
18181,"White County, IN",IN,99999,NA
18103,"Miami County, IN",IN,37940,"Peru, IN"
18023,"Clinton County, IN",IN,23140,"Frankfort, IN"
18017,"Cass County, IN",IN,30900,"Logansport, IN"
18159,"Tipton County, IN",IN,99999,NA
18001,"Adams County, IN",IN,19540,"Decatur, IN"
18113,"Noble County, IN",IN,28340,"Kendallville, IN"
18033,"DeKalb County, IN",IN,12140,"Auburn, IN"
18003,"Allen County, IN",IN,23060,"Fort Wayne, IN"
18053,"Grant County, IN",IN,31980,"Marion, IN"
18183,"Whitley County, IN",IN,23060,"Fort Wayne, IN"
18179,"Wells County, IN",IN,23060,"Fort Wayne, IN"
18047,"Franklin County, IN",IN,99999,NA
18155,"Switzerland County, IN",IN,99999,NA
18071,"Jackson County, IN",IN,42980,"Seymour, IN"
18137,"Ripley County, IN",IN,99999,NA
18079,"Jennings County, IN",IN,35860,"North Vernon, IN"
18115,"Ohio County, IN",IN,17140,"Cincinnati, OH-KY-IN"
18077,"Jefferson County, IN",IN,31500,"Madison, IN"
18131,"Pulaski County, IN",IN,99999,NA
18149,"Starke County, IN",IN,99999,NA
18089,"Lake County, IN",IN,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
18081,"Johnson County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18145,"Shelby County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18051,"Gibson County, IN",IN,99999,NA
18037,"Dubois County, IN",IN,27540,"Jasper, IN"
18173,"Warrick County, IN",IN,21780,"Evansville, IN-KY"
18123,"Perry County, IN",IN,99999,NA
18125,"Pike County, IN",IN,27540,"Jasper, IN"
18083,"Knox County, IN",IN,47180,"Vincennes, IN"
18153,"Sullivan County, IN",IN,45460,"Terre Haute, IN"
18167,"Vigo County, IN",IN,45460,"Terre Haute, IN"
18121,"Parke County, IN",IN,99999,NA
18101,"Martin County, IN",IN,99999,NA
18005,"Bartholomew County, IN",IN,18020,"Columbus, IN"
18165,"Vermillion County, IN",IN,45460,"Terre Haute, IN"
18035,"Delaware County, IN",IN,34620,"Muncie, IN"
18139,"Rush County, IN",IN,99999,NA
18127,"Porter County, IN",IN,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
18049,"Fulton County, IN",IN,99999,NA
18099,"Marshall County, IN",IN,38500,"Plymouth, IN"
18085,"Kosciusko County, IN",IN,47700,"Warsaw, IN"
18141,"St. Joseph County, IN",IN,43780,"South Bend-Mishawaka, IN-MI"
18039,"Elkhart County, IN",IN,21140,"Elkhart-Goshen, IN"
18075,"Jay County, IN",IN,99999,NA
18135,"Randolph County, IN",IN,99999,NA
18065,"Henry County, IN",IN,35220,"New Castle, IN"
18041,"Fayette County, IN",IN,18220,"Connersville, IN"
18177,"Wayne County, IN",IN,39980,"Richmond, IN"
18161,"Union County, IN",IN,17140,"Cincinnati, OH-KY-IN"
18009,"Blackford County, IN",IN,99999,NA
18055,"Greene County, IN",IN,99999,NA
18093,"Lawrence County, IN",IN,13260,"Bedford, IN"
18105,"Monroe County, IN",IN,14020,"Bloomington, IN"
18117,"Orange County, IN",IN,99999,NA
18027,"Daviess County, IN",IN,47780,"Washington, IN"
18119,"Owen County, IN",IN,14020,"Bloomington, IN"
18013,"Brown County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18025,"Crawford County, IN",IN,99999,NA
18061,"Harrison County, IN",IN,31140,"Louisville/Jefferson County, KY-IN"
18175,"Washington County, IN",IN,31140,"Louisville/Jefferson County, KY-IN"
18043,"Floyd County, IN",IN,31140,"Louisville/Jefferson County, KY-IN"
18019,"Clark County, IN",IN,31140,"Louisville/Jefferson County, KY-IN"
18143,"Scott County, IN",IN,31140,"Louisville/Jefferson County, KY-IN"
18157,"Tippecanoe County, IN",IN,29200,"Lafayette-West Lafayette, IN"
18107,"Montgomery County, IN",IN,18820,"Crawfordsville, IN"
18007,"Benton County, IN",IN,29200,"Lafayette-West Lafayette, IN"
18045,"Fountain County, IN",IN,99999,NA
18015,"Carroll County, IN",IN,29200,"Lafayette-West Lafayette, IN"
18067,"Howard County, IN",IN,29020,"Kokomo, IN"
18087,"LaGrange County, IN",IN,99999,NA
18069,"Huntington County, IN",IN,26540,"Huntington, IN"
18151,"Steuben County, IN",IN,11420,"Angola, IN"
18169,"Wabash County, IN",IN,47340,"Wabash, IN"
21101,"Henderson County, KY",KY,21780,"Evansville, IN-KY"
18029,"Dearborn County, IN",IN,17140,"Cincinnati, OH-KY-IN"
18031,"Decatur County, IN",IN,24700,"Greensburg, IN"
18073,"Jasper County, IN",IN,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
18091,"LaPorte County, IN",IN,33140,"Michigan City-La Porte, IN"
18111,"Newton County, IN",IN,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
18097,"Marion County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18063,"Hendricks County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18109,"Morgan County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18011,"Boone County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18095,"Madison County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18059,"Hancock County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18057,"Hamilton County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18147,"Spencer County, IN",IN,99999,NA
18163,"Vanderburgh County, IN",IN,21780,"Evansville, IN-KY"
18129,"Posey County, IN",IN,21780,"Evansville, IN-KY"
18133,"Putnam County, IN",IN,26900,"Indianapolis-Carmel-Anderson, IN"
18021,"Clay County, IN",IN,45460,"Terre Haute, IN"
19087,"Henry County, IA",IA,99999,NA
19115,"Louisa County, IA",IA,99999,NA
19025,"Calhoun County, IA",IA,99999,NA
19197,"Wright County, IA",IA,99999,NA
19091,"Humboldt County, IA",IA,99999,NA
19195,"Worth County, IA",IA,32380,"Mason City, IA"
19081,"Hancock County, IA",IA,99999,NA
19067,"Floyd County, IA",IA,99999,NA
19189,"Winnebago County, IA",IA,99999,NA
19075,"Grundy County, IA",IA,47940,"Waterloo-Cedar Falls, IA"
19019,"Buchanan County, IA",IA,99999,NA
19023,"Butler County, IA",IA,99999,NA
19017,"Bremer County, IA",IA,47940,"Waterloo-Cedar Falls, IA"
19185,"Wayne County, IA",IA,99999,NA
19135,"Monroe County, IA",IA,99999,NA
19177,"Van Buren County, IA",IA,99999,NA
19179,"Wapello County, IA",IA,36900,"Ottumwa, IA"
19123,"Mahaska County, IA",IA,36820,"Oskaloosa, IA"
19101,"Jefferson County, IA",IA,21840,"Fairfield, IA"
19107,"Keokuk County, IA",IA,99999,NA
19159,"Ringgold County, IA",IA,99999,NA
19127,"Marshall County, IA",IA,32260,"Marshalltown, IA"
19171,"Tama County, IA",IA,99999,NA
19157,"Poweshiek County, IA",IA,99999,NA
19083,"Hardin County, IA",IA,99999,NA
19169,"Story County, IA",IA,11180,"Ames, IA"
19099,"Jasper County, IA",IA,35500,"Newton, IA"
19125,"Marion County, IA",IA,37800,"Pella, IA"
19015,"Boone County, IA",IA,14340,"Boone, IA"
19095,"Iowa County, IA",IA,99999,NA
19113,"Linn County, IA",IA,16300,"Cedar Rapids, IA"
19103,"Johnson County, IA",IA,26980,"Iowa City, IA"
19005,"Allamakee County, IA",IA,99999,NA
19057,"Des Moines County, IA",IA,15460,"Burlington, IA-IL"
19065,"Fayette County, IA",IA,99999,NA
19011,"Benton County, IA",IA,16300,"Cedar Rapids, IA"
19121,"Madison County, IA",IA,19780,"Des Moines-West Des Moines, IA"
19041,"Clay County, IA",IA,43980,"Spencer, IA"
19061,"Dubuque County, IA",IA,20220,"Dubuque, IA"
19161,"Sac County, IA",IA,99999,NA
19009,"Audubon County, IA",IA,99999,NA
19077,"Guthrie County, IA",IA,19780,"Des Moines-West Des Moines, IA"
19047,"Crawford County, IA",IA,99999,NA
19073,"Greene County, IA",IA,99999,NA
19027,"Carroll County, IA",IA,16140,"Carroll, IA"
19063,"Emmet County, IA",IA,99999,NA
19119,"Lyon County, IA",IA,99999,NA
19167,"Sioux County, IA",IA,99999,NA
19109,"Kossuth County, IA",IA,99999,NA
19141,"O'Brien County, IA",IA,99999,NA
19059,"Dickinson County, IA",IA,44020,"Spirit Lake, IA"
19021,"Buena Vista County, IA",IA,44740,"Storm Lake, IA"
19147,"Palo Alto County, IA",IA,99999,NA
19143,"Osceola County, IA",IA,99999,NA
19093,"Ida County, IA",IA,99999,NA
19035,"Cherokee County, IA",IA,99999,NA
19133,"Monona County, IA",IA,99999,NA
19193,"Woodbury County, IA",IA,43580,"Sioux City, IA-NE-SD"
19149,"Plymouth County, IA",IA,43580,"Sioux City, IA-NE-SD"
19045,"Clinton County, IA",IA,17540,"Clinton, IA"
19097,"Jackson County, IA",IA,99999,NA
19163,"Scott County, IA",IA,19340,"Davenport-Moline-Rock Island, IA-IL"
19139,"Muscatine County, IA",IA,34700,"Muscatine, IA"
19055,"Delaware County, IA",IA,99999,NA
19037,"Chickasaw County, IA",IA,99999,NA
19043,"Clayton County, IA",IA,99999,NA
19191,"Winneshiek County, IA",IA,99999,NA
19089,"Howard County, IA",IA,99999,NA
19029,"Cass County, IA",IA,99999,NA
19085,"Harrison County, IA",IA,36540,"Omaha-Council Bluffs, NE-IA"
19155,"Pottawattamie County, IA",IA,36540,"Omaha-Council Bluffs, NE-IA"
19129,"Mills County, IA",IA,36540,"Omaha-Council Bluffs, NE-IA"
19145,"Page County, IA",IA,99999,NA
19165,"Shelby County, IA",IA,99999,NA
19071,"Fremont County, IA",IA,99999,NA
19111,"Lee County, IA",IA,22800,"Fort Madison-Keokuk, IA-IL-MO"
19079,"Hamilton County, IA",IA,99999,NA
19151,"Pocahontas County, IA",IA,99999,NA
19187,"Webster County, IA",IA,22700,"Fort Dodge, IA"
19131,"Mitchell County, IA",IA,99999,NA
19069,"Franklin County, IA",IA,99999,NA
19033,"Cerro Gordo County, IA",IA,32380,"Mason City, IA"
19013,"Black Hawk County, IA",IA,47940,"Waterloo-Cedar Falls, IA"
19117,"Lucas County, IA",IA,99999,NA
19007,"Appanoose County, IA",IA,99999,NA
19051,"Davis County, IA",IA,36900,"Ottumwa, IA"
19175,"Union County, IA",IA,99999,NA
19173,"Taylor County, IA",IA,99999,NA
19137,"Montgomery County, IA",IA,99999,NA
19001,"Adair County, IA",IA,99999,NA
19053,"Decatur County, IA",IA,99999,NA
19003,"Adams County, IA",IA,99999,NA
19039,"Clarke County, IA",IA,99999,NA
19153,"Polk County, IA",IA,19780,"Des Moines-West Des Moines, IA"
19181,"Warren County, IA",IA,19780,"Des Moines-West Des Moines, IA"
19049,"Dallas County, IA",IA,19780,"Des Moines-West Des Moines, IA"
19183,"Washington County, IA",IA,26980,"Iowa City, IA"
19105,"Jones County, IA",IA,16300,"Cedar Rapids, IA"
19031,"Cedar County, IA",IA,99999,NA
20191,"Sumner County, KS",KS,48620,"Wichita, KS"
20173,"Sedgwick County, KS",KS,48620,"Wichita, KS"
20015,"Butler County, KS",KS,48620,"Wichita, KS"
20095,"Kingman County, KS",KS,48620,"Wichita, KS"
20035,"Cowley County, KS",KS,11680,"Arkansas City-Winfield, KS"
20077,"Harper County, KS",KS,99999,NA
20027,"Clay County, KS",KS,99999,NA
20013,"Brown County, KS",KS,99999,NA
20085,"Jackson County, KS",KS,45820,"Topeka, KS"
20177,"Shawnee County, KS",KS,45820,"Topeka, KS"
20161,"Riley County, KS",KS,31740,"Manhattan, KS"
20061,"Geary County, KS",KS,27920,"Junction City, KS"
20045,"Douglas County, KS",KS,29940,"Lawrence, KS"
20087,"Jefferson County, KS",KS,45820,"Topeka, KS"
20131,"Nemaha County, KS",KS,99999,NA
20139,"Osage County, KS",KS,45820,"Topeka, KS"
20201,"Washington County, KS",KS,99999,NA
20117,"Marshall County, KS",KS,99999,NA
20119,"Meade County, KS",KS,99999,NA
20185,"Stafford County, KS",KS,99999,NA
20189,"Stevens County, KS",KS,99999,NA
20175,"Seward County, KS",KS,30580,"Liberal, KS"
20187,"Stanton County, KS",KS,99999,NA
20155,"Reno County, KS",KS,26740,"Hutchinson, KS"
20047,"Edwards County, KS",KS,99999,NA
20069,"Gray County, KS",KS,99999,NA
20057,"Ford County, KS",KS,19980,"Dodge City, KS"
20079,"Harvey County, KS",KS,48620,"Wichita, KS"
20067,"Grant County, KS",KS,99999,NA
20075,"Hamilton County, KS",KS,99999,NA
20097,"Kiowa County, KS",KS,99999,NA
20025,"Clark County, KS",KS,99999,NA
20007,"Barber County, KS",KS,99999,NA
20159,"Rice County, KS",KS,99999,NA
20051,"Ellis County, KS",KS,25700,"Hays, KS"
20041,"Dickinson County, KS",KS,99999,NA
20115,"Marion County, KS",KS,99999,NA
20109,"Logan County, KS",KS,99999,NA
20193,"Thomas County, KS",KS,99999,NA
20063,"Gove County, KS",KS,99999,NA
20179,"Sheridan County, KS",KS,99999,NA
20183,"Smith County, KS",KS,99999,NA
20181,"Sherman County, KS",KS,99999,NA
20039,"Decatur County, KS",KS,99999,NA
20023,"Cheyenne County, KS",KS,99999,NA
20163,"Rooks County, KS",KS,99999,NA
20147,"Phillips County, KS",KS,99999,NA
20029,"Cloud County, KS",KS,99999,NA
20157,"Republic County, KS",KS,99999,NA
20153,"Rawlins County, KS",KS,99999,NA
20137,"Norton County, KS",KS,99999,NA
20089,"Jewell County, KS",KS,99999,NA
20169,"Saline County, KS",KS,41460,"Salina, KS"
20141,"Osborne County, KS",KS,99999,NA
20123,"Mitchell County, KS",KS,99999,NA
20167,"Russell County, KS",KS,99999,NA
20165,"Rush County, KS",KS,99999,NA
20083,"Hodgeman County, KS",KS,99999,NA
20145,"Pawnee County, KS",KS,99999,NA
20101,"Lane County, KS",KS,99999,NA
20203,"Wichita County, KS",KS,99999,NA
20093,"Kearny County, KS",KS,23780,"Garden City, KS"
20091,"Johnson County, KS",KS,28140,"Kansas City, MO-KS"
20099,"Labette County, KS",KS,37660,"Parsons, KS"
20113,"McPherson County, KS",KS,32700,"McPherson, KS"
20103,"Leavenworth County, KS",KS,28140,"Kansas City, MO-KS"
20049,"Elk County, KS",KS,99999,NA
20053,"Ellsworth County, KS",KS,99999,NA
20111,"Lyon County, KS",KS,21380,"Emporia, KS"
20005,"Atchison County, KS",KS,11860,"Atchison, KS"
20207,"Woodson County, KS",KS,99999,NA
20133,"Neosho County, KS",KS,99999,NA
20205,"Wilson County, KS",KS,99999,NA
20125,"Montgomery County, KS",KS,17700,"Coffeyville, KS"
20001,"Allen County, KS",KS,99999,NA
20011,"Bourbon County, KS",KS,99999,NA
20073,"Greenwood County, KS",KS,99999,NA
20003,"Anderson County, KS",KS,99999,NA
20031,"Coffey County, KS",KS,99999,NA
20107,"Linn County, KS",KS,28140,"Kansas City, MO-KS"
20037,"Crawford County, KS",KS,38260,"Pittsburg, KS"
20021,"Cherokee County, KS",KS,99999,NA
20019,"Chautauqua County, KS",KS,99999,NA
20121,"Miami County, KS",KS,28140,"Kansas City, MO-KS"
20209,"Wyandotte County, KS",KS,28140,"Kansas City, MO-KS"
20043,"Doniphan County, KS",KS,41140,"St. Joseph, MO-KS"
20059,"Franklin County, KS",KS,36840,"Ottawa, KS"
20149,"Pottawatomie County, KS",KS,31740,"Manhattan, KS"
20197,"Wabaunsee County, KS",KS,45820,"Topeka, KS"
20151,"Pratt County, KS",KS,99999,NA
20129,"Morton County, KS",KS,99999,NA
20081,"Haskell County, KS",KS,99999,NA
20055,"Finney County, KS",KS,23780,"Garden City, KS"
20033,"Comanche County, KS",KS,99999,NA
20017,"Chase County, KS",KS,99999,NA
20127,"Morris County, KS",KS,99999,NA
20009,"Barton County, KS",KS,24460,"Great Bend, KS"
20135,"Ness County, KS",KS,99999,NA
20143,"Ottawa County, KS",KS,41460,"Salina, KS"
20105,"Lincoln County, KS",KS,99999,NA
20199,"Wallace County, KS",KS,99999,NA
20195,"Trego County, KS",KS,99999,NA
20171,"Scott County, KS",KS,99999,NA
20065,"Graham County, KS",KS,99999,NA
20071,"Greeley County, KS",KS,99999,NA
8061,"Kiowa County, CO",CO,99999,NA
21099,"Hart County, KY",KY,99999,NA
21227,"Warren County, KY",KY,14540,"Bowling Green, KY"
21141,"Logan County, KY",KY,99999,NA
21087,"Green County, KY",KY,99999,NA
21199,"Pulaski County, KY",KY,43700,"Somerset, KY"
21085,"Grayson County, KY",KY,99999,NA
21155,"Marion County, KY",KY,99999,NA
21229,"Washington County, KY",KY,99999,NA
21093,"Hardin County, KY",KY,21060,"Elizabethtown-Fort Knox, KY"
21027,"Breckinridge County, KY",KY,99999,NA
21179,"Nelson County, KY",KY,12680,"Bardstown, KY"
21163,"Meade County, KY",KY,21060,"Elizabethtown-Fort Knox, KY"
21103,"Henry County, KY",KY,31140,"Louisville/Jefferson County, KY-IN"
21183,"Ohio County, KY",KY,99999,NA
21225,"Union County, KY",KY,99999,NA
21011,"Bath County, KY",KY,34460,"Mount Sterling, KY"
21205,"Rowan County, KY",KY,99999,NA
21069,"Fleming County, KY",KY,99999,NA
21135,"Lewis County, KY",KY,99999,NA
21019,"Boyd County, KY",KY,26580,"Huntington-Ashland, WV-KY-OH"
21089,"Greenup County, KY",KY,26580,"Huntington-Ashland, WV-KY-OH"
21195,"Pike County, KY",KY,99999,NA
21129,"Lee County, KY",KY,99999,NA
21071,"Floyd County, KY",KY,99999,NA
21119,"Knott County, KY",KY,99999,NA
21237,"Wolfe County, KY",KY,99999,NA
21043,"Carter County, KY",KY,99999,NA
21159,"Martin County, KY",KY,99999,NA
21193,"Perry County, KY",KY,99999,NA
21051,"Clay County, KY",KY,99999,NA
21095,"Harlan County, KY",KY,99999,NA
21131,"Leslie County, KY",KY,99999,NA
21187,"Owen County, KY",KY,99999,NA
21007,"Ballard County, KY",KY,37140,"Paducah, KY-IL"
21075,"Fulton County, KY",KY,46460,"Union City, TN-KY"
21101,"Henderson County, KY",KY,21780,"Evansville, IN-KY"
21143,"Lyon County, KY",KY,99999,NA
21151,"Madison County, KY",KY,40080,"Richmond-Berea, KY"
21221,"Trigg County, KY",KY,17300,"Clarksville, TN-KY"
21047,"Christian County, KY",KY,17300,"Clarksville, TN-KY"
21177,"Muhlenberg County, KY",KY,16420,"Central City, KY"
21181,"Nicholas County, KY",KY,99999,NA
21223,"Trimble County, KY",KY,31140,"Louisville/Jefferson County, KY-IN"
21113,"Jessamine County, KY",KY,30460,"Lexington-Fayette, KY"
21191,"Pendleton County, KY",KY,17140,"Cincinnati, OH-KY-IN"
21211,"Shelby County, KY",KY,31140,"Louisville/Jefferson County, KY-IN"
21035,"Calloway County, KY",KY,34660,"Murray, KY"
21061,"Edmonson County, KY",KY,14540,"Bowling Green, KY"
21049,"Clark County, KY",KY,30460,"Lexington-Fayette, KY"
18163,"Vanderburgh County, IN",IN,21780,"Evansville, IN-KY"
21059,"Daviess County, KY",KY,36980,"Owensboro, KY"
21105,"Hickman County, KY",KY,99999,NA
21077,"Gallatin County, KY",KY,17140,"Cincinnati, OH-KY-IN"
21121,"Knox County, KY",KY,30940,"London, KY"
21167,"Mercer County, KY",KY,99999,NA
51195,"Wise County, VA",VA,13720,"Big Stone Gap, VA"
21219,"Todd County, KY",KY,99999,NA
21033,"Caldwell County, KY",KY,99999,NA
21055,"Crittenden County, KY",KY,99999,NA
21107,"Hopkins County, KY",KY,31580,"Madisonville, KY"
21145,"McCracken County, KY",KY,37140,"Paducah, KY-IL"
21039,"Carlisle County, KY",KY,99999,NA
21139,"Livingston County, KY",KY,37140,"Paducah, KY-IL"
21157,"Marshall County, KY",KY,99999,NA
21083,"Graves County, KY",KY,32460,"Mayfield, KY"
21003,"Allen County, KY",KY,14540,"Bowling Green, KY"
21031,"Butler County, KY",KY,14540,"Bowling Green, KY"
21213,"Simpson County, KY",KY,99999,NA
21009,"Barren County, KY",KY,23980,"Glasgow, KY"
21169,"Metcalfe County, KY",KY,23980,"Glasgow, KY"
21171,"Monroe County, KY",KY,99999,NA
21045,"Casey County, KY",KY,99999,NA
21057,"Cumberland County, KY",KY,99999,NA
21053,"Clinton County, KY",KY,99999,NA
21231,"Wayne County, KY",KY,99999,NA
21147,"McCreary County, KY",KY,99999,NA
21235,"Whitley County, KY",KY,30940,"London, KY"
21125,"Laurel County, KY",KY,30940,"London, KY"
21203,"Rockcastle County, KY",KY,40080,"Richmond-Berea, KY"
21217,"Taylor County, KY",KY,15820,"Campbellsville, KY"
21207,"Russell County, KY",KY,99999,NA
21001,"Adair County, KY",KY,99999,NA
21123,"Larue County, KY",KY,21060,"Elizabethtown-Fort Knox, KY"
21215,"Spencer County, KY",KY,31140,"Louisville/Jefferson County, KY-IN"
21185,"Oldham County, KY",KY,31140,"Louisville/Jefferson County, KY-IN"
21111,"Jefferson County, KY",KY,31140,"Louisville/Jefferson County, KY-IN"
21029,"Bullitt County, KY",KY,31140,"Louisville/Jefferson County, KY-IN"
21197,"Powell County, KY",KY,99999,NA
21079,"Garrard County, KY",KY,99999,NA
21137,"Lincoln County, KY",KY,19220,"Danville, KY"
21021,"Boyle County, KY",KY,19220,"Danville, KY"
21209,"Scott County, KY",KY,30460,"Lexington-Fayette, KY"
21239,"Woodford County, KY",KY,30460,"Lexington-Fayette, KY"
21017,"Bourbon County, KY",KY,30460,"Lexington-Fayette, KY"
21067,"Fayette County, KY",KY,30460,"Lexington-Fayette, KY"
21005,"Anderson County, KY",KY,23180,"Frankfort, KY"
21073,"Franklin County, KY",KY,23180,"Frankfort, KY"
21097,"Harrison County, KY",KY,99999,NA
21065,"Estill County, KY",KY,99999,NA
21091,"Hancock County, KY",KY,36980,"Owensboro, KY"
21149,"McLean County, KY",KY,36980,"Owensboro, KY"
21233,"Webster County, KY",KY,99999,NA
21161,"Mason County, KY",KY,32500,"Maysville, KY"
21173,"Montgomery County, KY",KY,34460,"Mount Sterling, KY"
21023,"Bracken County, KY",KY,17140,"Cincinnati, OH-KY-IN"
21201,"Robertson County, KY",KY,99999,NA
21109,"Jackson County, KY",KY,99999,NA
21165,"Menifee County, KY",KY,34460,"Mount Sterling, KY"
21115,"Johnson County, KY",KY,99999,NA
21175,"Morgan County, KY",KY,99999,NA
21025,"Breathitt County, KY",KY,99999,NA
21189,"Owsley County, KY",KY,99999,NA
21127,"Lawrence County, KY",KY,99999,NA
21063,"Elliott County, KY",KY,99999,NA
21153,"Magoffin County, KY",KY,99999,NA
21013,"Bell County, KY",KY,33180,"Middlesborough, KY"
21133,"Letcher County, KY",KY,99999,NA
18029,"Dearborn County, IN",IN,17140,"Cincinnati, OH-KY-IN"
21041,"Carroll County, KY",KY,99999,NA
21037,"Campbell County, KY",KY,17140,"Cincinnati, OH-KY-IN"
21081,"Grant County, KY",KY,17140,"Cincinnati, OH-KY-IN"
21117,"Kenton County, KY",KY,17140,"Cincinnati, OH-KY-IN"
21015,"Boone County, KY",KY,17140,"Cincinnati, OH-KY-IN"
22093,"St. James Parish, LA",LA,35380,"New Orleans-Metairie, LA"
22079,"Rapides Parish, LA",LA,10780,"Alexandria, LA"
22071,"Orleans Parish, LA",LA,35380,"New Orleans-Metairie, LA"
22085,"Sabine Parish, LA",LA,99999,NA
22027,"Claiborne Parish, LA",LA,99999,NA
22013,"Bienville Parish, LA",LA,99999,NA
22115,"Vernon Parish, LA",LA,22860,"Fort Polk South, LA"
22023,"Cameron Parish, LA",LA,29340,"Lake Charles, LA"
22073,"Ouachita Parish, LA",LA,33740,"Monroe, LA"
22043,"Grant Parish, LA",LA,10780,"Alexandria, LA"
22025,"Catahoula Parish, LA",LA,99999,NA
22059,"LaSalle Parish, LA",LA,99999,NA
22007,"Assumption Parish, LA",LA,99999,NA
22009,"Avoyelles Parish, LA",LA,99999,NA
22011,"Beauregard Parish, LA",LA,19760,"DeRidder, LA"
22055,"Lafayette Parish, LA",LA,29180,"Lafayette, LA"
22069,"Natchitoches Parish, LA",LA,35060,"Natchitoches, LA"
22101,"St. Mary Parish, LA",LA,34020,"Morgan City, LA"
22127,"Winn Parish, LA",LA,99999,NA
22109,"Terrebonne Parish, LA",LA,26380,"Houma-Thibodaux, LA"
22111,"Union Parish, LA",LA,33740,"Monroe, LA"
22087,"St. Bernard Parish, LA",LA,35380,"New Orleans-Metairie, LA"
22045,"Iberia Parish, LA",LA,29180,"Lafayette, LA"
22047,"Iberville Parish, LA",LA,12940,"Baton Rouge, LA"
22051,"Jefferson Parish, LA",LA,35380,"New Orleans-Metairie, LA"
22075,"Plaquemines Parish, LA",LA,35380,"New Orleans-Metairie, LA"
